refYear,partnerISO,partnerDesc,flowDesc,cmdCode,cmdDesc,primaryValue
2013,AFG,Afghanistan,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",20015291.0
2013,DZA,Algeria,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",7686043.0
2013,AGO,Angola,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2498074.0
2013,AZE,Azerbaijan,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2647088.0
2013,ARG,Argentina,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2954.0
2013,AUS,Australia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",95441749.0
2013,AUT,Austria,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1311084.0
2013,BHR,Bahrain,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1013772.0
2013,BGD,Bangladesh,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3504966.0
2013,BEL,Belgium,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",85833112.0
2013,BRA,Brazil,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",120966376.0
2013,BRN,Brunei Darussalam,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1370604.0
2013,BGR,Bulgaria,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4141438.0
2013,BLR,Belarus,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",5054307.0
2013,KHM,Cambodia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1149241.0
2013,CMR,Cameroon,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3214002.0
2013,CAN,Canada,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",139249104.0
2013,LKA,Sri Lanka,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2672660.0
2013,CHL,Chile,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",5486189.0
2013,CHN,China,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",415645803.0
2013,COL,Colombia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",57406399.0
2013,COG,Congo,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2793735.0
2013,COD,Dem. Rep. of the Congo,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",615028.0
2013,CRI,Costa Rica,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6231927.0
2013,HRV,Croatia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2247914.0
2013,CYP,Cyprus,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4475288.0
2013,CZE,Czechia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3301307.0
2013,BEN,Benin,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1336875.0
2013,DNK,Denmark,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",18624803.0
2013,DMA,Dominica,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1152381.0
2013,DOM,Dominican Rep.,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",8757216.0
2013,ECU,Ecuador,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",200878.0
2013,EST,Estonia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",656376.0
2013,FJI,Fiji,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",213946.0
