refYear,partnerISO,partnerDesc,flowDesc,cmdCode,cmdDesc,primaryValue
2013,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",5062027398.0
2013,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,425945865.0
2013,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1178499452.0
2014,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",5762641630.0
2014,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,445499221.0
2014,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1556047852.0
2015,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4838124426.0
2015,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,408568581.0
2015,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1299403572.0
2016,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",5184388211.19
2016,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,440573917.71
2016,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1411059151.4
2017,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6141701246.8
2017,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,518189413.7
2017,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1624845192.4
2018,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6407587808.77
2018,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,551139567.46
2018,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1664550476.93
2019,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6205145147.47
2019,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,676134745.32
2019,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1505469498.39
2020,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",5771043979.475
2020,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,717544717.031
2020,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1764196663.133
2021,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6304923224.261
2021,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,662973952.11
2021,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1798111518.809
2022,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",7979123881.104
2022,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,758520854.542
2022,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2026314169.623
2023,W00,World,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6463382524.355
2023,W00,World,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,780098296.341
2023,W00,World,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1571395310.981
2013,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",714755472.0
2013,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4015408.0
2013,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1238824.0
2014,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1049754996.0
2014,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4823581.0
2014,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",11499292.0
2015,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1042916010.0
2015,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,10699671.0
2015,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",13690622.0
2016,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1088047406.54
2016,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,11645818.24
2016,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",11710725.25
2017,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1386235620.4
2017,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,21376776.5
2017,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",31970312.6
2018,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1522080124.83
2018,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,25509479.66
2018,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",6745519.37
2019,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1572080939.67
2019,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,23865041.16
2019,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",9520553.53
2020,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1594193516.47
2020,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,28797427.301
2020,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",9249383.946
2021,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1796742074.841
2021,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,34754864.481
2021,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",14112321.375
2022,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2382894326.638
2022,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,50762133.629
2022,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",35167052.429
2023,W00,World,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2245333613.522
2023,W00,World,Import,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,62584122.098
2023,W00,World,Import,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",37219484.18
