Year,Trade_Flow,Partner_Country,HS_Code,Product_Description,Weight_KG,Value_USD
2015,Export,Algeria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,8049300.0
2015,Export,Andorra,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1820291.0
2015,Export,Angola,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,2777495.0
2015,Export,Azerbaijan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1308.0
2015,Export,Argentina,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1663071.0
2015,Export,Australia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,97596821.0
2015,Export,Austria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1097814.0
2015,Export,Bahamas,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,593107.0
2015,Export,Bahrain,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1926125.0
2015,Export,Bangladesh,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1679664.0
2015,Export,Belgium,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,75807368.0
2015,Export,Brazil,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,77804883.0
2015,Export,Solomon Isds,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,11640.0
2015,Export,Brunei Darussalam,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1291213.0
2015,Export,Bulgaria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,2272401.0
2015,Export,Myanmar,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,288639.0
2015,Export,Belarus,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,439286.0
2015,Export,Cambodia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1343546.0
2015,Export,Cameroon,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,6267630.0
2015,Export,Canada,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,122231228.0
