refYear,refMonth,reporterDesc,flowDesc,partnerDesc,classificationCode,cmdCode,cmdDesc,qty,qtyUnitAbbr,netWgt,fobvalue,primaryValue
52,2015,X,0,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,4838124426.0,0
52,2015,X,12,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,8049300.0,0
52,2015,X,20,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1820291.0,0
52,2015,X,24,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,2777495.0,0
52,2015,X,31,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1308.0,0
52,2015,X,32,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1663071.0,0
52,2015,X,36,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,97596821.0,0
52,2015,X,40,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1097814.0,0
52,2015,X,44,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,593107.0,0
52,2015,X,48,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1926125.0,0
52,2015,X,50,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1679664.0,0
52,2015,X,56,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,75807368.0,0
52,2015,X,76,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,77804883.0,0
52,2015,X,90,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,11640.0,0
52,2015,X,96,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1291213.0,0
52,2015,X,100,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,2272401.0,0
52,2015,X,104,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,288639.0,0
52,2015,X,112,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,439286.0,0
52,2015,X,116,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1343546.0,0
52,2015,X,120,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,6267630.0,0
52,2015,X,124,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,122231228.0,0
52,2015,X,144,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,3480601.0,0
52,2015,X,152,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,8831652.0,0
52,2015,X,156,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,435684729.0,0
52,2015,X,170,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,63998650.0,0
52,2015,X,178,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1061342.0,0
52,2015,X,180,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1093160.0,0
52,2015,X,188,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,7304584.0,0
52,2015,X,191,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,2329597.0,0
52,2015,X,196,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,3882195.0,0
52,2015,X,204,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,982630.0,0
52,2015,X,208,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,15329928.0,0
52,2015,X,214,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,14038506.0,0
52,2015,X,218,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,738196.0,0
52,2015,X,222,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,110210.0,0
52,2015,X,233,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,231240.0,0
52,2015,X,242,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,659414.0,0
52,2015,X,251,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,83362695.0,0
52,2015,X,266,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1657332.0,0
52,2015,X,268,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,3782523.0,0
52,2015,X,276,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,115046701.0,0
52,2015,X,288,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1255937.0,0
52,2015,X,300,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,9612952.0,0
52,2015,X,320,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,779655.0,0
52,2015,X,324,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,98700.0,0
52,2015,X,332,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,275070.0,0
52,2015,X,340,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1694879.0,0
