Year,Trade_Flow,Partner_Country,HS_Code,Product_Description,Weight_KG,Value_USD
2015,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,1042916010
2015,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2264255,10699671
2015,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1411764,13690622
2015,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,4838124426
2015,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,86292818,408568581
2015,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",117443496,1299403572
2016,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,1088047407
2016,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2625799.684,11645818.24
2016,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1442014.299,11710725.25
2016,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,5184388211
2016,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,97574859.92,440573917.7
2016,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",136604121.3,1411059151
2017,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,1386235620
2017,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4616623.632,21376776.5
2017,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4344589.782,31970312.6
2017,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,6141701247
2017,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,99438337.45,518189413.7
2017,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",154133070.7,1624845192
2018,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,1522080125
2018,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4740663.835,25509479.66
2018,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1370863.486,6745519.37
2018,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,6407587809
2018,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,102957516.8,551139567.5
2018,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",140120089.1,1664550477
2019,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,1572080940
2019,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4824396.878,23865041.16
2019,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2066297.214,9520553.53
2019,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,6205145147
2019,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,122387493.3,676134745.3
2019,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",138360916.9,1505469498
2020,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,1594193516
2020,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,5841219.473,28797427.3
2020,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1486977.853,9249383.946
2020,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,5771043979
2020,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,128607796.5,717544717
2020,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",164665864.6,1764196663
2021,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,1796742075
2021,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,7096790.45,34754864.48
2021,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2098194.461,14112321.38
2021,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,6304923224
2021,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,129659712,662973952.1
2021,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0,1798111519
2022,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,2382894327
2022,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,8453978.284,50762133.63
2022,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4708497.745,35167052.43
2022,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,7979123881
2022,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,152500791.7,758520854.5
2022,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0,2026314170
2023,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,2245333614
2023,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,10743412.73,62584122.1
2023,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",5171915.526,37219484.18
2023,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,6463382524
2023,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,127101786.6,780098296.3
2023,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0,1571395311
2024,Export,World,TOTAL,Total Seafood,0,10040000000
2024,Import,World,TOTAL,Total Seafood,0,2636094213
2025,Export,World,TOTAL,Total Seafood,0,11290000000
2025,Import,World,TOTAL,Total Seafood,0,3380000000
