typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H4","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1042916010",,"1042916010","0","true","false",
"C","A","20150101","2015","52","2015","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H4","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2264255","true","-1","N/A",,"false","2264255","true",,"false","10699671",,"10699671","6","true","false",
"C","A","20150101","2015","52","2015","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H4","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1411764","true","-1","N/A",,"false","1411764","true",,"false","13690622",,"13690622","6","true","false",
"C","A","20150101","2015","52","2015","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H4","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4838124426","4838124426","0","true","false",
"C","A","20150101","2015","52","2015","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H4","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","86292818","true","-1","N/A",,"false","86292818","true",,"false",,"408568581","408568581","6","true","false",
"C","A","20150101","2015","52","2015","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H4","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","117443496","true","-1","N/A",,"false","117443496","true",,"false",,"1299403572","1299403572","6","true","false",
"C","A","20160101","2016","52","2016","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H4","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","1088047406.54",,"1088047406.54","0","false","true",
"C","A","20160101","2016","52","2016","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H4","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2625799.684","true","-1","N/A","0","false","2625799.684","true",,"false","11645818.24",,"11645818.24","0","false","true",
"C","A","20160101","2016","52","2016","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H4","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1442014.299","true","-1","N/A","0","false","1442014.299","true",,"false","11710725.25",,"11710725.25","0","false","true",
"C","A","20160101","2016","52","2016","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H4","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"5184388211.19","5184388211.19","0","false","true",
"C","A","20160101","2016","52","2016","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H4","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","97574859.921","true","-1","N/A","0","false","97574859.921","true",,"false",,"440573917.71","440573917.71","0","false","true",
"C","A","20160101","2016","52","2016","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H4","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","136604121.259","true","-1","N/A","0","false","136604121.259","true",,"false",,"1411059151.4","1411059151.4","0","false","true",
"C","A","20170101","2017","52","2017","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H4","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","1386235620.4",,"1386235620.4","0","false","true",
"C","A","20170101","2017","52","2017","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H4","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","4616623.632","true","-1","N/A","0","false","4616623.632","true",,"false","21376776.5",,"21376776.5","0","false","true",
"C","A","20170101","2017","52","2017","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H4","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","4344589.782","true","-1","N/A","0","false","4344589.782","true",,"false","31970312.6",,"31970312.6","0","false","true",
"C","A","20170101","2017","52","2017","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H4","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"6141701246.8","6141701246.8","0","false","true",
"C","A","20170101","2017","52","2017","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H4","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","99438337.448","true","-1","N/A","0","false","99438337.448","true",,"false",,"518189413.7","518189413.7","0","false","true",
"C","A","20170101","2017","52","2017","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H4","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","154133070.708","true","-1","N/A","0","false","154133070.708","true",,"false",,"1624845192.4","1624845192.4","0","false","true",
"C","A","20180101","2018","52","2018","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true","0","false","1522080124.83",,"1522080124.83","4","false","true",
"C","A","20180101","2018","52","2018","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4740663.835","true","-1","N/A","0","false","4740663.835","true","0","false","25509479.66",,"25509479.66","6","false","true",
"C","A","20180101","2018","52","2018","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1370863.486","true","-1","N/A","0","false","1370863.486","true","0","false","6745519.37",,"6745519.37","6","false","true",
"C","A","20180101","2018","52","2018","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"6407587808.77","6407587808.77","4","false","true",
"C","A","20180101","2018","52","2018","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","102957516.849","true","-1","N/A","0","false","102957516.849","true","0","false",,"551139567.46","551139567.46","6","false","true",
"C","A","20180101","2018","52","2018","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","140120089.088","true","-1","N/A","0","false","140120089.088","true","0","false",,"1664550476.93","1664550476.93","6","false","true",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1572080939.67",,"1572080939.67","4","false","true",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4824396.878","true","-1","N/A","0","false","4824396.878","true","0","false","23865041.16",,"23865041.16","6","false","true",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2066297.214","true","-1","N/A","0","false","2066297.214","true","0","false","9520553.53",,"9520553.53","6","false","true",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true","0","false",,"6205145147.47","6205145147.47","4","false","true",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","122387493.332","true","-1","N/A","0","false","122387493.332","true","0","false",,"676134745.32","676134745.32","6","false","true",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","138360916.911","true","-1","N/A","0","false","138360916.911","true","0","false",,"1505469498.39","1505469498.39","6","false","true",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1594193516.47","0","1594193516.47","4","false","true",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5841219.473","true","-1","N/A","0","false","5841219.473","true","0","false","28797427.301","0","28797427.301","6","false","true",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1486977.853","true","-1","N/A","0","false","1486977.853","true","0","false","9249383.946","0","9249383.946","6","false","true",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","5771043979.475","5771043979.475","4","false","true",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","128607796.462","true","-1","N/A","0","false","128607796.462","true","0","false","0","717544717.031","717544717.031","6","false","true",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","164665864.591","true","-1","N/A","0","false","164665864.591","true","0","false","0","1764196663.133","1764196663.133","6","false","true",
"C","A","20210101","2021","52","2021","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1796742074.841","0","1796742074.841","4","false","true",
"C","A","20210101","2021","52","2021","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7096790.45","true","-1","N/A","0","false","7096790.45","true","0","false","34754864.481","0","34754864.481","6","false","true",
"C","A","20210101","2021","52","2021","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2098194.461","true","-1","N/A","0","false","2098194.461","true","0","false","14112321.375","0","14112321.375","6","false","true",
"C","A","20210101","2021","52","2021","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","6304923224.261","6304923224.261","4","false","true",
"C","A","20210101","2021","52","2021","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","129659711.957","true","-1","N/A","0","false","129659711.957","true","0","false","0","662973952.11","662973952.11","6","false","true",
"C","A","20210101","2021","52","2021","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H5","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1798111518.809","1798111518.809","0","false","true",
"C","A","20220101","2022","52","2022","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H6","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","2382894326.638",,"2382894326.638","0","false","true",
"C","A","20220101","2022","52","2022","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H6","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8453978.284","true","-1","N/A","0","false","8453978.284","true","0","false","50762133.629",,"50762133.629","6","false","true",
"C","A","20220101","2022","52","2022","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H6","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4708497.745","true","-1","N/A","0","false","4708497.745","true","0","false","35167052.429",,"35167052.429","6","false","true",
"C","A","20220101","2022","52","2022","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H6","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"7979123881.104","7979123881.104","0","false","true",
"C","A","20220101","2022","52","2022","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H6","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","152500791.696","true","-1","N/A","0","false","152500791.696","true","0","false",,"758520854.542","758520854.542","6","false","true",
"C","A","20220101","2022","52","2022","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H6","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"2026314169.623","2026314169.623","0","false","true",
"C","A","20230101","2023","52","2023","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H6","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","2245333613.522",,"2245333613.522","0","false","true",
"C","A","20230101","2023","52","2023","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H6","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10743412.728","true","-1","N/A","0","false","10743412.728","true","0","false","62584122.098",,"62584122.098","6","false","true",
"C","A","20230101","2023","52","2023","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H6","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5171915.526","true","-1","N/A","0","false","5171915.526","true","0","false","37219484.18",,"37219484.18","6","false","true",
"C","A","20230101","2023","52","2023","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H6","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"6463382524.355","6463382524.355","0","false","true",
"C","A","20230101","2023","52","2023","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H6","HS","true","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","127101786.552","true","-1","N/A","0","false","127101786.552","true","0","false",,"780098296.341","780098296.341","6","false","true",
"C","A","20230101","2023","52","2023","704","VNM","Viet Nam","X","Export","0","W00","World","0","W00","World","H6","HS","true","1605","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"1571395310.981","1571395310.981","0","false","true",
