Year,Trade_Flow,Partner_Country,HS_Code,Product_Description,Weight_KG,Value_USD
2024,Export,World,TOTAL,Total Seafood,0.0,10040000000
2024,Import,World,TOTAL,Total Seafood,0.0,2636094213
2025,Export,World,TOTAL,Total Seafood,0.0,11290000000
2025,Import,World,TOTAL,Total Seafood,0.0,3380000000
2024,Export,United States,TOTAL,Total Seafood,0.0,1830000000
2024,Export,China,TOTAL,Total Seafood,0.0,1730000000
2024,Export,Japan,TOTAL,Total Seafood,0.0,1530000000
2024,Export,European Union,TOTAL,Total Seafood,0.0,1040000000
2025,Export,China,TOTAL,Total Seafood,0.0,2280000000
2025,Export,United States,TOTAL,Total Seafood,0.0,1910000000
2025,Export,Japan,TOTAL,Total Seafood,0.0,1690000000
2025,Import,India,TOTAL,Total Seafood,0.0,524220000
2025,Import,Indonesia,TOTAL,Total Seafood,0.0,477390000
2025,Import,Norway,TOTAL,Total Seafood,0.0,393810000
