Year,Trade_Flow,Partner_ISO,Partner_Country,HS_Code,Product_Description,Value_USD
2015,Export,DZA,Algeria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",8049300.0
2015,Export,AND,Andorra,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1820291.0
2015,Export,AGO,Angola,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2777495.0
2015,Export,AZE,Azerbaijan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1308.0
2015,Export,ARG,Argentina,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1663071.0
2015,Export,AUS,Australia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",97596821.0
2015,Export,AUT,Austria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1097814.0
2015,Export,BHS,Bahamas,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",593107.0
2015,Export,BHR,Bahrain,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1926125.0
2015,Export,BGD,Bangladesh,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1679664.0
2015,Export,BEL,Belgium,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",75807368.0
2015,Export,BRA,Brazil,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",77804883.0
2015,Export,SLB,Solomon Isds,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",11640.0
2015,Export,BRN,Brunei Darussalam,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1291213.0
2015,Export,BGR,Bulgaria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2272401.0
2015,Export,MMR,Myanmar,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",288639.0
2015,Export,BLR,Belarus,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",439286.0
2015,Export,KHM,Cambodia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1343546.0
2015,Export,CMR,Cameroon,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6267630.0
2015,Export,CAN,Canada,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",122231228.0
2015,Export,LKA,Sri Lanka,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3480601.0
2015,Export,CHL,Chile,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",8831652.0
2015,Export,CHN,China,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",435684729.0
2015,Export,COL,Colombia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",63998650.0
2015,Export,COG,Congo,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1061342.0
2015,Export,COD,Dem. Rep. of the Congo,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1093160.0
2015,Export,CRI,Costa Rica,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",7304584.0
2015,Export,HRV,Croatia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2329597.0
2015,Export,CYP,Cyprus,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3882195.0
2015,Export,BEN,Benin,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",982630.0
2015,Export,DNK,Denmark,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",15329928.0
2015,Export,DOM,Dominican Rep.,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",14038506.0
2015,Export,ECU,Ecuador,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",738196.0
2015,Export,SLV,El Salvador,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",110210.0
2015,Export,EST,Estonia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",231240.0
2015,Export,FJI,Fiji,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",659414.0
2015,Export,FRA,France,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",83362695.0
2015,Export,GAB,Gabon,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1657332.0
2015,Export,GEO,Georgia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3782523.0
2015,Export,DEU,Germany,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",115046701.0
2015,Export,GHA,Ghana,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1255937.0
2015,Export,GRC,Greece,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",9612952.0
2015,Export,GTM,Guatemala,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",779655.0
2015,Export,GIN,Guinea,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",98700.0
2015,Export,HTI,Haiti,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",275070.0
2015,Export,HND,Honduras,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1694879.0
2015,Export,HKG,"China, Hong Kong SAR",3,"Fish and crustaceans, molluscs and other aquatic invertebrates",129679642.0
2015,Export,HUN,Hungary,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1170648.0
2015,Export,IDN,Indonesia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2678849.0
2015,Export,IRL,Ireland,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",441643.0
2015,Export,ISR,Israel,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",30167965.0
2015,Export,ITA,Italy,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",97602722.0
2015,Export,CIV,Côte d'Ivoire,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3370607.0
2015,Export,JAM,Jamaica,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",285816.0
2015,Export,JPN,Japan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",690833380.0
2015,Export,KAZ,Kazakhstan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",200.0
2015,Export,JOR,Jordan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",7371965.0
2015,Export,KEN,Kenya,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",359256.0
2015,Export,KOR,Rep. of Korea,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",437549875.0
2015,Export,KWT,Kuwait,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",10901528.0
2015,Export,LAO,Lao People's Dem. Rep.,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",260676.0
2015,Export,LBN,Lebanon,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",12395475.0
2015,Export,LVA,Latvia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1484211.0
2015,Export,LBR,Liberia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",246.0
2015,Export,LBY,Libya,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1558625.0
2015,Export,LTU,Lithuania,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",8409022.0
2015,Export,MAC,"China, Macao SAR",3,"Fish and crustaceans, molluscs and other aquatic invertebrates",253119.0
2015,Export,MDG,Madagascar,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",320.0
2015,Export,MYS,Malaysia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",65330112.0
2015,Export,MLI,Mali,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",58397.0
2015,Export,MLT,Malta,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",404922.0
2015,Export,MUS,Mauritius,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3558795.0
2015,Export,MEX,Mexico,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",107095344.0
2015,Export,S19,"Other Asia, nes",3,"Fish and crustaceans, molluscs and other aquatic invertebrates",103990185.0
2015,Export,MAR,Morocco,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3401152.0
2015,Export,OMN,Oman,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2488766.0
2015,Export,NAM,Namibia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",184401.0
2015,Export,NPL,Nepal,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",317480.0
2015,Export,NLD,Netherlands,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",108422646.0
2015,Export,NCL,New Caledonia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",193391.0
2015,Export,NZL,New Zealand,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",13615569.0
2015,Export,NIC,Nicaragua,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1109519.0
2015,Export,NGA,Nigeria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",703397.0
2015,Export,NOR,Norway,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1077028.0
2015,Export,MNP,N. Mariana Isds,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",426473.0
2015,Export,PAK,Pakistan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",22269904.0
2015,Export,PAN,Panama,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",5997159.0
2015,Export,PNG,Papua New Guinea,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",854986.0
2015,Export,PER,Peru,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4861395.0
2015,Export,PHL,Philippines,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",72214124.0
2015,Export,POL,Poland,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",13195713.0
